TimeStamp,ResourceType,ResourceID,Effectiveness,Percentage,Compliant,Error,Condition,Path
5-23-2023 16:00:50,WebPortal,workspaces.html,Auditability,,FALSE,,Last Modified date  > 60 days ,
,,,Elasticity,,,,,
,,,FaultTolerance,,,,,
,,,Extensibility,,,,,
,,,Flexibility,,,,,
,,,Footprint,,,,,
,,,Resilience,,,,,
,,,ResourceConstraints,,,,,
,,,Reliability,,,,,
,,,Scalability,,,,,
,,,Deployment,,,,,
,,,FailureManagement,,,,,
,,,Supportability,,,,,
,,,Development,,,,,
,,,Modifiability,,,,Flag set/reset,
,,,Maintainability,,,,,
,CloudStorage,gcf-v2-sources-420669423590-us-central1,Operability,100,TRUE,,Configure default storage class,
,CloudStorage,gcf-v2-sources-420669423590-us-central1,Operability,0,FALSE,Forbidden: 403 Insufficient Permission,,
,,,Integrability,,,,Deploy to other cloud one function??,
,,,PlatformCompatibility,,,,,
,,,Compatibility,,,,"ANSI, Cloud Functions (Python), etc.",
,,,Dependency,,,,,
,,,Adaptability,,,,,
,,,Interoperability,,,,,
,,,Portability,,,,,
,,,Quality,,,,,
,,,Usability,,,,,
,,,Testability,,,,,
,WebPortal,Home.html,Performance,100,TRUE,,Passed with 50  concurent users,
5-23-2023 16:00:50,WebPortal,Home.html,Performance,50,TRUE,,Passed with 100  concurent users,
5-23-2023 16:00:50,WebPortal,Home.html,Performance,,FALSE,Failed for 100 concurent users,,
5-23-2023 16:00:50,WebPortal,Home.html,Volume Testing,100,TRUE,,Passed with 50  concurent users,
5-23-2023 16:00:50,WebPortal,Home.html,Volume Testing,50,TRUE,,Passed with 100  concurent users,
5-23-2023 16:00:50,WebPortal,Home.html,Volume Testing,,FALSE,Failed for 100 concurent users,,
,,,Effeciency,,,,,
,,,Stability,,,,,
,,,Robustness,,,,,
,,,Throughput,,,,,
,,,Throughput,,,,,
,,,ResponseTime,,,,,
,,,ResponseTime,,,,,
,,,MemoryOptimization,,,https://towardsdatascience.com/static-code-analysis-for-python-bdce10b8d287,,
01-Jan-22,Cloud Storage,Data Scenarios,Cost,35,,Get the Cost of each resource per day,,
,,,NetworkTopology,,,How do we tell we are optimally connected on Cloud??,,
,,,BootUpTime,,,Can we get the boot up time of VMs,,
,,,Accessibility,,,Any accessibiluty tool in scope,,
,,,Exploitability,,,,,
,,,Reusability,,,Scan the code and decide reusabiluty,,
,,,DataIntegrity,,,,,
,,,Security,,,,,
,,,Readability,,,,,
,,,EmotionalFactor,,,,,
,,,Internationalization,,,,,
,,,,,,,,
01-Jan-22,Cloud Storage,Data Scenarios,Cost,30,,,,
02-Jan-22,Cloud Storage,Data Scenarios,Cost,33,,,,
03-Jan-22,Cloud Storage,Data Scenarios,Cost,31,,,,
04-Jan-22,Cloud Storage,Data Scenarios,Cost,37,,,,
05-Jan-22,Cloud Storage,Data Scenarios,Cost,33,,,,
06-Jan-22,Cloud Storage,Data Scenarios,Cost,35,,,,
07-Jan-22,Cloud Storage,Data Scenarios,Cost,30,,,,
08-Jan-22,Cloud Storage,Data Scenarios,Cost,34,,,,
09-Jan-22,Cloud Storage,Data Scenarios,Cost,31,,,,
10-Jan-22,Cloud Storage,Data Scenarios,Cost,39,,,,
11-Jan-22,Cloud Storage,Data Scenarios,Cost,36,,,,
12-Jan-22,Cloud Storage,Data Scenarios,Cost,32,,,,
13-Jan-22,Cloud Storage,Data Scenarios,Cost,38,,,,
14-Jan-22,Cloud Storage,Data Scenarios,Cost,40,,,,
15-Jan-22,Cloud Storage,Data Scenarios,Cost,36,,,,
16-Jan-22,Cloud Storage,Data Scenarios,Cost,37,,,,
17-Jan-22,Cloud Storage,Data Scenarios,Cost,33,,,,
18-Jan-22,Cloud Storage,Data Scenarios,Cost,31,,,,
19-Jan-22,Cloud Storage,Data Scenarios,Cost,38,,,,
20-Jan-22,Cloud Storage,Data Scenarios,Cost,40,,,,
21-Jan-22,Cloud Storage,Data Scenarios,Cost,34,,,,
22-Jan-22,Cloud Storage,Data Scenarios,Cost,31,,,,
23-Jan-22,Cloud Storage,Data Scenarios,Cost,39,,,,
24-Jan-22,Cloud Storage,Data Scenarios,Cost,35,,,,
25-Jan-22,Cloud Storage,Data Scenarios,Cost,39,,,,
26-Jan-22,Cloud Storage,Data Scenarios,Cost,31,,,,
27-Jan-22,Cloud Storage,Data Scenarios,Cost,36,,,,
28-Jan-22,Cloud Storage,Data Scenarios,Cost,38,,,,
29-Jan-22,Cloud Storage,Data Scenarios,Cost,32,,,,
30-Jan-22,Cloud Storage,Data Scenarios,Cost,37,,,,
31-Jan-22,Cloud Storage,Data Scenarios,Cost,35,,,,
01-Feb-22,Cloud Storage,Data Scenarios,Cost,36,,,,
02-Feb-22,Cloud Storage,Data Scenarios,Cost,31,,,,
03-Feb-22,Cloud Storage,Data Scenarios,Cost,34,,,,
04-Feb-22,Cloud Storage,Data Scenarios,Cost,32,,,,
05-Feb-22,Cloud Storage,Data Scenarios,Cost,40,,,,
06-Feb-22,Cloud Storage,Data Scenarios,Cost,30,,,,
07-Feb-22,Cloud Storage,Data Scenarios,Cost,36,,,,
08-Feb-22,Cloud Storage,Data Scenarios,Cost,36,,,,
09-Feb-22,Cloud Storage,Data Scenarios,Cost,30,,,,
10-Feb-22,Cloud Storage,Data Scenarios,Cost,30,,,,
11-Feb-22,Cloud Storage,Data Scenarios,Cost,36,,,,
12-Feb-22,Cloud Storage,Data Scenarios,Cost,39,,,,
13-Feb-22,Cloud Storage,Data Scenarios,Cost,33,,,,
14-Feb-22,Cloud Storage,Data Scenarios,Cost,38,,,,
15-Feb-22,Cloud Storage,Data Scenarios,Cost,34,,,,
16-Feb-22,Cloud Storage,Data Scenarios,Cost,36,,,,
17-Feb-22,Cloud Storage,Data Scenarios,Cost,34,,,,
18-Feb-22,Cloud Storage,Data Scenarios,Cost,38,,,,
19-Feb-22,Cloud Storage,Data Scenarios,Cost,32,,,,
20-Feb-22,Cloud Storage,Data Scenarios,Cost,39,,,,
21-Feb-22,Cloud Storage,Data Scenarios,Cost,33,,,,
22-Feb-22,Cloud Storage,Data Scenarios,Cost,34,,,,
23-Feb-22,Cloud Storage,Data Scenarios,Cost,39,,,,
24-Feb-22,Cloud Storage,Data Scenarios,Cost,34,,,,
25-Feb-22,Cloud Storage,Data Scenarios,Cost,37,,,,
26-Feb-22,Cloud Storage,Data Scenarios,Cost,33,,,,
27-Feb-22,Cloud Storage,Data Scenarios,Cost,39,,,,
28-Feb-22,Cloud Storage,Data Scenarios,Cost,32,,,,
01-Mar-22,Cloud Storage,Data Scenarios,Cost,37,,,,
02-Mar-22,Cloud Storage,Data Scenarios,Cost,34,,,,
03-Mar-22,Cloud Storage,Data Scenarios,Cost,30,,,,
04-Mar-22,Cloud Storage,Data Scenarios,Cost,33,,,,
05-Mar-22,Cloud Storage,Data Scenarios,Cost,30,,,,
06-Mar-22,Cloud Storage,Data Scenarios,Cost,36,,,,
07-Mar-22,Cloud Storage,Data Scenarios,Cost,38,,,,
08-Mar-22,Cloud Storage,Data Scenarios,Cost,35,,,,
09-Mar-22,Cloud Storage,Data Scenarios,Cost,32,,,,
10-Mar-22,Cloud Storage,Data Scenarios,Cost,30,,,,
11-Mar-22,Cloud Storage,Data Scenarios,Cost,38,,,,
12-Mar-22,Cloud Storage,Data Scenarios,Cost,37,,,,
13-Mar-22,Cloud Storage,Data Scenarios,Cost,34,,,,
14-Mar-22,Cloud Storage,Data Scenarios,Cost,32,,,,
15-Mar-22,Cloud Storage,Data Scenarios,Cost,30,,,,
16-Mar-22,Cloud Storage,Data Scenarios,Cost,36,,,,
17-Mar-22,Cloud Storage,Data Scenarios,Cost,34,,,,
18-Mar-22,Cloud Storage,Data Scenarios,Cost,34,,,,
19-Mar-22,Cloud Storage,Data Scenarios,Cost,39,,,,
20-Mar-22,Cloud Storage,Data Scenarios,Cost,37,,,,
21-Mar-22,Cloud Storage,Data Scenarios,Cost,39,,,,
22-Mar-22,Cloud Storage,Data Scenarios,Cost,37,,,,
23-Mar-22,Cloud Storage,Data Scenarios,Cost,35,,,,
24-Mar-22,Cloud Storage,Data Scenarios,Cost,32,,,,
25-Mar-22,Cloud Storage,Data Scenarios,Cost,32,,,,
26-Mar-22,Cloud Storage,Data Scenarios,Cost,34,,,,
27-Mar-22,Cloud Storage,Data Scenarios,Cost,35,,,,
28-Mar-22,Cloud Storage,Data Scenarios,Cost,30,,,,
29-Mar-22,Cloud Storage,Data Scenarios,Cost,34,,,,
30-Mar-22,Cloud Storage,Data Scenarios,Cost,36,,,,
31-Mar-22,Cloud Storage,Data Scenarios,Cost,40,,,,
01-Apr-22,Cloud Storage,Data Scenarios,Cost,40,,,,
02-Apr-22,Cloud Storage,Data Scenarios,Cost,33,,,,
03-Apr-22,Cloud Storage,Data Scenarios,Cost,36,,,,
04-Apr-22,Cloud Storage,Data Scenarios,Cost,40,,,,
05-Apr-22,Cloud Storage,Data Scenarios,Cost,40,,,,
06-Apr-22,Cloud Storage,Data Scenarios,Cost,39,,,,
07-Apr-22,Cloud Storage,Data Scenarios,Cost,35,,,,
08-Apr-22,Cloud Storage,Data Scenarios,Cost,39,,,,
09-Apr-22,Cloud Storage,Data Scenarios,Cost,39,,,,
10-Apr-22,Cloud Storage,Data Scenarios,Cost,36,,,,
11-Apr-22,Cloud Storage,Data Scenarios,Cost,35,,,,
12-Apr-22,Cloud Storage,Data Scenarios,Cost,33,,,,
13-Apr-22,Cloud Storage,Data Scenarios,Cost,37,,,,
14-Apr-22,Cloud Storage,Data Scenarios,Cost,40,,,,
15-Apr-22,Cloud Storage,Data Scenarios,Cost,30,,,,
16-Apr-22,Cloud Storage,Data Scenarios,Cost,39,,,,
17-Apr-22,Cloud Storage,Data Scenarios,Cost,32,,,,
18-Apr-22,Cloud Storage,Data Scenarios,Cost,34,,,,
19-Apr-22,Cloud Storage,Data Scenarios,Cost,40,,,,
20-Apr-22,Cloud Storage,Data Scenarios,Cost,30,,,,
21-Apr-22,Cloud Storage,Data Scenarios,Cost,36,,,,
22-Apr-22,Cloud Storage,Data Scenarios,Cost,37,,,,
23-Apr-22,Cloud Storage,Data Scenarios,Cost,35,,,,
24-Apr-22,Cloud Storage,Data Scenarios,Cost,36,,,,
25-Apr-22,Cloud Storage,Data Scenarios,Cost,31,,,,
26-Apr-22,Cloud Storage,Data Scenarios,Cost,31,,,,
27-Apr-22,Cloud Storage,Data Scenarios,Cost,34,,,,
28-Apr-22,Cloud Storage,Data Scenarios,Cost,36,,,,
29-Apr-22,Cloud Storage,Data Scenarios,Cost,31,,,,
30-Apr-22,Cloud Storage,Data Scenarios,Cost,38,,,,
01-May-22,Cloud Storage,Data Scenarios,Cost,39,,,,
02-May-22,Cloud Storage,Data Scenarios,Cost,34,,,,
03-May-22,Cloud Storage,Data Scenarios,Cost,34,,,,
04-May-22,Cloud Storage,Data Scenarios,Cost,31,,,,
05-May-22,Cloud Storage,Data Scenarios,Cost,31,,,,
06-May-22,Cloud Storage,Data Scenarios,Cost,32,,,,
07-May-22,Cloud Storage,Data Scenarios,Cost,31,,,,
08-May-22,Cloud Storage,Data Scenarios,Cost,32,,,,
09-May-22,Cloud Storage,Data Scenarios,Cost,35,,,,
10-May-22,Cloud Storage,Data Scenarios,Cost,33,,,,
11-May-22,Cloud Storage,Data Scenarios,Cost,36,,,,
12-May-22,Cloud Storage,Data Scenarios,Cost,32,,,,
13-May-22,Cloud Storage,Data Scenarios,Cost,40,,,,
14-May-22,Cloud Storage,Data Scenarios,Cost,32,,,,
15-May-22,Cloud Storage,Data Scenarios,Cost,37,,,,
16-May-22,Cloud Storage,Data Scenarios,Cost,31,,,,
17-May-22,Cloud Storage,Data Scenarios,Cost,40,,,,
18-May-22,Cloud Storage,Data Scenarios,Cost,36,,,,
19-May-22,Cloud Storage,Data Scenarios,Cost,40,,,,
20-May-22,Cloud Storage,Data Scenarios,Cost,33,,,,
21-May-22,Cloud Storage,Data Scenarios,Cost,40,,,,
22-May-22,Cloud Storage,Data Scenarios,Cost,37,,,,
23-May-22,Cloud Storage,Data Scenarios,Cost,35,,,,
24-May-22,Cloud Storage,Data Scenarios,Cost,40,,,,
25-May-22,Cloud Storage,Data Scenarios,Cost,36,,,,
26-May-22,Cloud Storage,Data Scenarios,Cost,40,,,,
27-May-22,Cloud Storage,Data Scenarios,Cost,31,,,,
28-May-22,Cloud Storage,Data Scenarios,Cost,31,,,,
29-May-22,Cloud Storage,Data Scenarios,Cost,39,,,,
30-May-22,Cloud Storage,Data Scenarios,Cost,40,,,,
31-May-22,Cloud Storage,Data Scenarios,Cost,31,,,,
01-Jun-22,Cloud Storage,Data Scenarios,Cost,37,,,,
02-Jun-22,Cloud Storage,Data Scenarios,Cost,38,,,,
03-Jun-22,Cloud Storage,Data Scenarios,Cost,38,,,,
04-Jun-22,Cloud Storage,Data Scenarios,Cost,34,,,,
05-Jun-22,Cloud Storage,Data Scenarios,Cost,35,,,,
06-Jun-22,Cloud Storage,Data Scenarios,Cost,34,,,,
07-Jun-22,Cloud Storage,Data Scenarios,Cost,38,,,,
08-Jun-22,Cloud Storage,Data Scenarios,Cost,34,,,,
09-Jun-22,Cloud Storage,Data Scenarios,Cost,35,,,,
10-Jun-22,Cloud Storage,Data Scenarios,Cost,32,,,,
11-Jun-22,Cloud Storage,Data Scenarios,Cost,40,,,,
12-Jun-22,Cloud Storage,Data Scenarios,Cost,39,,,,
13-Jun-22,Cloud Storage,Data Scenarios,Cost,30,,,,
14-Jun-22,Cloud Storage,Data Scenarios,Cost,36,,,,
15-Jun-22,Cloud Storage,Data Scenarios,Cost,37,,,,
16-Jun-22,Cloud Storage,Data Scenarios,Cost,40,,,,
17-Jun-22,Cloud Storage,Data Scenarios,Cost,31,,,,
18-Jun-22,Cloud Storage,Data Scenarios,Cost,31,,,,
19-Jun-22,Cloud Storage,Data Scenarios,Cost,40,,,,
20-Jun-22,Cloud Storage,Data Scenarios,Cost,33,,,,
21-Jun-22,Cloud Storage,Data Scenarios,Cost,32,,,,
22-Jun-22,Cloud Storage,Data Scenarios,Cost,38,,,,
23-Jun-22,Cloud Storage,Data Scenarios,Cost,36,,,,
24-Jun-22,Cloud Storage,Data Scenarios,Cost,38,,,,
25-Jun-22,Cloud Storage,Data Scenarios,Cost,30,,,,
26-Jun-22,Cloud Storage,Data Scenarios,Cost,36,,,,
27-Jun-22,Cloud Storage,Data Scenarios,Cost,31,,,,
28-Jun-22,Cloud Storage,Data Scenarios,Cost,35,,,,
29-Jun-22,Cloud Storage,Data Scenarios,Cost,33,,,,
30-Jun-22,Cloud Storage,Data Scenarios,Cost,39,,,,
01-Jul-22,Cloud Storage,Data Scenarios,Cost,38,,,,
02-Jul-22,Cloud Storage,Data Scenarios,Cost,32,,,,
03-Jul-22,Cloud Storage,Data Scenarios,Cost,34,,,,
04-Jul-22,Cloud Storage,Data Scenarios,Cost,38,,,,
05-Jul-22,Cloud Storage,Data Scenarios,Cost,32,,,,
06-Jul-22,Cloud Storage,Data Scenarios,Cost,33,,,,
07-Jul-22,Cloud Storage,Data Scenarios,Cost,39,,,,
08-Jul-22,Cloud Storage,Data Scenarios,Cost,38,,,,
09-Jul-22,Cloud Storage,Data Scenarios,Cost,39,,,,
10-Jul-22,Cloud Storage,Data Scenarios,Cost,31,,,,
11-Jul-22,Cloud Storage,Data Scenarios,Cost,36,,,,
12-Jul-22,Cloud Storage,Data Scenarios,Cost,34,,,,
13-Jul-22,Cloud Storage,Data Scenarios,Cost,32,,,,
14-Jul-22,Cloud Storage,Data Scenarios,Cost,38,,,,
15-Jul-22,Cloud Storage,Data Scenarios,Cost,35,,,,
16-Jul-22,Cloud Storage,Data Scenarios,Cost,40,,,,
17-Jul-22,Cloud Storage,Data Scenarios,Cost,35,,,,
18-Jul-22,Cloud Storage,Data Scenarios,Cost,36,,,,
19-Jul-22,Cloud Storage,Data Scenarios,Cost,36,,,,
20-Jul-22,Cloud Storage,Data Scenarios,Cost,40,,,,
21-Jul-22,Cloud Storage,Data Scenarios,Cost,32,,,,
22-Jul-22,Cloud Storage,Data Scenarios,Cost,34,,,,
23-Jul-22,Cloud Storage,Data Scenarios,Cost,34,,,,
24-Jul-22,Cloud Storage,Data Scenarios,Cost,39,,,,
25-Jul-22,Cloud Storage,Data Scenarios,Cost,36,,,,
26-Jul-22,Cloud Storage,Data Scenarios,Cost,34,,,,
27-Jul-22,Cloud Storage,Data Scenarios,Cost,36,,,,
28-Jul-22,Cloud Storage,Data Scenarios,Cost,37,,,,
29-Jul-22,Cloud Storage,Data Scenarios,Cost,40,,,,
30-Jul-22,Cloud Storage,Data Scenarios,Cost,35,,,,
31-Jul-22,Cloud Storage,Data Scenarios,Cost,30,,,,
01-Aug-22,Cloud Storage,Data Scenarios,Cost,31,,,,
02-Aug-22,Cloud Storage,Data Scenarios,Cost,38,,,,
03-Aug-22,Cloud Storage,Data Scenarios,Cost,38,,,,
04-Aug-22,Cloud Storage,Data Scenarios,Cost,33,,,,
05-Aug-22,Cloud Storage,Data Scenarios,Cost,30,,,,
06-Aug-22,Cloud Storage,Data Scenarios,Cost,35,,,,
07-Aug-22,Cloud Storage,Data Scenarios,Cost,38,,,,
08-Aug-22,Cloud Storage,Data Scenarios,Cost,40,,,,
09-Aug-22,Cloud Storage,Data Scenarios,Cost,34,,,,
10-Aug-22,Cloud Storage,Data Scenarios,Cost,35,,,,
11-Aug-22,Cloud Storage,Data Scenarios,Cost,31,,,,
12-Aug-22,Cloud Storage,Data Scenarios,Cost,30,,,,
13-Aug-22,Cloud Storage,Data Scenarios,Cost,33,,,,
14-Aug-22,Cloud Storage,Data Scenarios,Cost,33,,,,
15-Aug-22,Cloud Storage,Data Scenarios,Cost,32,,,,
16-Aug-22,Cloud Storage,Data Scenarios,Cost,36,,,,
17-Aug-22,Cloud Storage,Data Scenarios,Cost,39,,,,
18-Aug-22,Cloud Storage,Data Scenarios,Cost,30,,,,
19-Aug-22,Cloud Storage,Data Scenarios,Cost,35,,,,
20-Aug-22,Cloud Storage,Data Scenarios,Cost,37,,,,
21-Aug-22,Cloud Storage,Data Scenarios,Cost,40,,,,
22-Aug-22,Cloud Storage,Data Scenarios,Cost,35,,,,
23-Aug-22,Cloud Storage,Data Scenarios,Cost,35,,,,
24-Aug-22,Cloud Storage,Data Scenarios,Cost,38,,,,
25-Aug-22,Cloud Storage,Data Scenarios,Cost,32,,,,
26-Aug-22,Cloud Storage,Data Scenarios,Cost,40,,,,
27-Aug-22,Cloud Storage,Data Scenarios,Cost,36,,,,
28-Aug-22,Cloud Storage,Data Scenarios,Cost,34,,,,
29-Aug-22,Cloud Storage,Data Scenarios,Cost,33,,,,
30-Aug-22,Cloud Storage,Data Scenarios,Cost,34,,,,
31-Aug-22,Cloud Storage,Data Scenarios,Cost,30,,,,
01-Sep-22,Cloud Storage,Data Scenarios,Cost,30,,,,
02-Sep-22,Cloud Storage,Data Scenarios,Cost,35,,,,
03-Sep-22,Cloud Storage,Data Scenarios,Cost,38,,,,
04-Sep-22,Cloud Storage,Data Scenarios,Cost,31,,,,
05-Sep-22,Cloud Storage,Data Scenarios,Cost,35,,,,
06-Sep-22,Cloud Storage,Data Scenarios,Cost,32,,,,
07-Sep-22,Cloud Storage,Data Scenarios,Cost,32,,,,
08-Sep-22,Cloud Storage,Data Scenarios,Cost,37,,,,
09-Sep-22,Cloud Storage,Data Scenarios,Cost,32,,,,
10-Sep-22,Cloud Storage,Data Scenarios,Cost,39,,,,
11-Sep-22,Cloud Storage,Data Scenarios,Cost,37,,,,
12-Sep-22,Cloud Storage,Data Scenarios,Cost,38,,,,
13-Sep-22,Cloud Storage,Data Scenarios,Cost,32,,,,
14-Sep-22,Cloud Storage,Data Scenarios,Cost,40,,,,
15-Sep-22,Cloud Storage,Data Scenarios,Cost,31,,,,
16-Sep-22,Cloud Storage,Data Scenarios,Cost,40,,,,
17-Sep-22,Cloud Storage,Data Scenarios,Cost,35,,,,
18-Sep-22,Cloud Storage,Data Scenarios,Cost,35,,,,
19-Sep-22,Cloud Storage,Data Scenarios,Cost,36,,,,
20-Sep-22,Cloud Storage,Data Scenarios,Cost,40,,,,
21-Sep-22,Cloud Storage,Data Scenarios,Cost,40,,,,
22-Sep-22,Cloud Storage,Data Scenarios,Cost,36,,,,
23-Sep-22,Cloud Storage,Data Scenarios,Cost,32,,,,
24-Sep-22,Cloud Storage,Data Scenarios,Cost,33,,,,
25-Sep-22,Cloud Storage,Data Scenarios,Cost,33,,,,
26-Sep-22,Cloud Storage,Data Scenarios,Cost,39,,,,
27-Sep-22,Cloud Storage,Data Scenarios,Cost,32,,,,
28-Sep-22,Cloud Storage,Data Scenarios,Cost,31,,,,
29-Sep-22,Cloud Storage,Data Scenarios,Cost,32,,,,
30-Sep-22,Cloud Storage,Data Scenarios,Cost,39,,,,
01-Oct-22,Cloud Storage,Data Scenarios,Cost,38,,,,
02-Oct-22,Cloud Storage,Data Scenarios,Cost,31,,,,
03-Oct-22,Cloud Storage,Data Scenarios,Cost,38,,,,
04-Oct-22,Cloud Storage,Data Scenarios,Cost,39,,,,
05-Oct-22,Cloud Storage,Data Scenarios,Cost,30,,,,
06-Oct-22,Cloud Storage,Data Scenarios,Cost,38,,,,
07-Oct-22,Cloud Storage,Data Scenarios,Cost,39,,,,
08-Oct-22,Cloud Storage,Data Scenarios,Cost,37,,,,
09-Oct-22,Cloud Storage,Data Scenarios,Cost,34,,,,
10-Oct-22,Cloud Storage,Data Scenarios,Cost,37,,,,
11-Oct-22,Cloud Storage,Data Scenarios,Cost,34,,,,
12-Oct-22,Cloud Storage,Data Scenarios,Cost,33,,,,
13-Oct-22,Cloud Storage,Data Scenarios,Cost,31,,,,
14-Oct-22,Cloud Storage,Data Scenarios,Cost,35,,,,
15-Oct-22,Cloud Storage,Data Scenarios,Cost,33,,,,
16-Oct-22,Cloud Storage,Data Scenarios,Cost,39,,,,
17-Oct-22,Cloud Storage,Data Scenarios,Cost,33,,,,
18-Oct-22,Cloud Storage,Data Scenarios,Cost,33,,,,
19-Oct-22,Cloud Storage,Data Scenarios,Cost,33,,,,
20-Oct-22,Cloud Storage,Data Scenarios,Cost,31,,,,
21-Oct-22,Cloud Storage,Data Scenarios,Cost,31,,,,
22-Oct-22,Cloud Storage,Data Scenarios,Cost,32,,,,
23-Oct-22,Cloud Storage,Data Scenarios,Cost,34,,,,
24-Oct-22,Cloud Storage,Data Scenarios,Cost,31,,,,
25-Oct-22,Cloud Storage,Data Scenarios,Cost,37,,,,
26-Oct-22,Cloud Storage,Data Scenarios,Cost,31,,,,
27-Oct-22,Cloud Storage,Data Scenarios,Cost,36,,,,
28-Oct-22,Cloud Storage,Data Scenarios,Cost,36,,,,
29-Oct-22,Cloud Storage,Data Scenarios,Cost,35,,,,
30-Oct-22,Cloud Storage,Data Scenarios,Cost,40,,,,
31-Oct-22,Cloud Storage,Data Scenarios,Cost,39,,,,
01-Nov-22,Cloud Storage,Data Scenarios,Cost,35,,,,
02-Nov-22,Cloud Storage,Data Scenarios,Cost,35,,,,
03-Nov-22,Cloud Storage,Data Scenarios,Cost,39,,,,
04-Nov-22,Cloud Storage,Data Scenarios,Cost,32,,,,
05-Nov-22,Cloud Storage,Data Scenarios,Cost,11,,,,
06-Nov-22,Cloud Storage,Data Scenarios,Cost,37,,,,
07-Nov-22,Cloud Storage,Data Scenarios,Cost,40,,,,
08-Nov-22,Cloud Storage,Data Scenarios,Cost,31,,,,
09-Nov-22,Cloud Storage,Data Scenarios,Cost,35,,,,
10-Nov-22,Cloud Storage,Data Scenarios,Cost,31,,,,
11-Nov-22,Cloud Storage,Data Scenarios,Cost,34,,,,
12-Nov-22,Cloud Storage,Data Scenarios,Cost,36,,,,
13-Nov-22,Cloud Storage,Data Scenarios,Cost,33,,,,
14-Nov-22,Cloud Storage,Data Scenarios,Cost,37,,,,
15-Nov-22,Cloud Storage,Data Scenarios,Cost,32,,,,
16-Nov-22,Cloud Storage,Data Scenarios,Cost,37,,,,
17-Nov-22,Cloud Storage,Data Scenarios,Cost,30,,,,
18-Nov-22,Cloud Storage,Data Scenarios,Cost,33,,,,
19-Nov-22,Cloud Storage,Data Scenarios,Cost,32,,,,
20-Nov-22,Cloud Storage,Data Scenarios,Cost,39,,,,
21-Nov-22,Cloud Storage,Data Scenarios,Cost,38,,,,
22-Nov-22,Cloud Storage,Data Scenarios,Cost,30,,,,
23-Nov-22,Cloud Storage,Data Scenarios,Cost,39,,,,
24-Nov-22,Cloud Storage,Data Scenarios,Cost,35,,,,
25-Nov-22,Cloud Storage,Data Scenarios,Cost,38,,,,
26-Nov-22,Cloud Storage,Data Scenarios,Cost,40,,,,
27-Nov-22,Cloud Storage,Data Scenarios,Cost,30,,,,
28-Nov-22,Cloud Storage,Data Scenarios,Cost,34,,,,
29-Nov-22,Cloud Storage,Data Scenarios,Cost,30,,,,
30-Nov-22,Cloud Storage,Data Scenarios,Cost,38,,,,
01-Dec-22,Cloud Storage,Data Scenarios,Cost,14,,,,
02-Dec-22,Cloud Storage,Data Scenarios,Cost,30,,,,
03-Dec-22,Cloud Storage,Data Scenarios,Cost,31,,,,
04-Dec-22,Cloud Storage,Data Scenarios,Cost,40,,,,
05-Dec-22,Cloud Storage,Data Scenarios,Cost,31,,,,
06-Dec-22,Cloud Storage,Data Scenarios,Cost,39,,,,
07-Dec-22,Cloud Storage,Data Scenarios,Cost,31,,,,
08-Dec-22,Cloud Storage,Data Scenarios,Cost,40,,,,
09-Dec-22,Cloud Storage,Data Scenarios,Cost,34,,,,
10-Dec-22,Cloud Storage,Data Scenarios,Cost,22,,,,
11-Dec-22,Cloud Storage,Data Scenarios,Cost,34,,,,
